YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,TP,Avg_Wv_Dir,Avg_Wv_Dir_N,M_Decl
2015,7,29,20,25,0,0.46,10.00,174.00,151.46,-22.55
2015,7,29,21,25,0,0.43,9.50,173.00,150.46,-22.55
2015,7,29,22,25,0,0.35,9.10,179.00,156.46,-22.55
2015,7,29,23,25,0,0.39,10.00,172.00,149.46,-22.55
2015,7,30,0,25,0,0.37,10.50,177.00,154.46,-22.55
2015,7,30,1,25,0,0.50,8.70,156.00,133.46,-22.55
2015,7,30,2,25,0,0.46,8.00,174.00,151.46,-22.55
2015,7,30,3,25,0,0.44,8.70,162.00,139.46,-22.55
2015,7,30,4,25,0,0.40,8.70,202.00,179.46,-22.55
2015,7,30,5,25,0,0.36,8.30,192.00,169.46,-22.55
2015,7,30,6,25,0,0.38,8.70,178.00,155.46,-22.55
2015,7,30,7,25,0,0.38,8.30,186.00,163.46,-22.55
2015,7,30,8,25,0,0.37,9.10,190.00,167.46,-22.55
2015,7,30,9,25,0,0.34,10.00,190.00,167.46,-22.55
2015,7,30,10,25,0,0.33,9.50,181.00,158.46,-22.55
2015,7,30,11,25,0,0.32,8.70,171.00,148.46,-22.55
2015,7,30,12,25,0,0.35,8.00,170.00,147.46,-22.55
2015,7,30,13,25,0,0.39,10.00,158.00,135.46,-22.55
2015,7,30,14,25,0,0.42,9.10,171.00,148.46,-22.55
2015,7,30,15,25,0,0.48,9.10,162.00,139.46,-22.55
2015,7,30,16,25,0,0.49,9.10,162.00,139.46,-22.55
2015,7,30,17,25,0,0.45,8.30,178.00,155.46,-22.55
2015,7,30,19,25,0,0.39,9.10,183.00,160.46,-22.55
2015,7,30,20,25,0,0.39,10.00,168.00,145.46,-22.55
2015,7,30,21,25,0,0.43,9.10,189.00,166.46,-22.55
2015,7,30,22,25,0,0.34,7.10,179.00,156.46,-22.55
2015,7,30,23,25,0,0.38,9.50,182.00,159.46,-22.55
2015,7,31,0,25,0,0.31,9.50,168.00,145.46,-22.55
2015,7,31,1,25,0,0.35,10.00,172.00,149.46,-22.55
2015,7,31,2,25,0,0.41,7.10,158.00,135.46,-22.55
2015,7,31,3,25,0,0.42,8.30,165.00,142.46,-22.55
2015,7,31,4,25,0,0.42,6.50,161.00,138.46,-22.55
2015,7,31,5,25,0,0.36,9.50,177.00,154.46,-22.55
2015,7,31,6,25,0,0.33,9.50,171.00,148.46,-22.55
2015,7,31,7,25,0,0.36,9.50,179.00,156.46,-22.55
2015,7,31,8,25,0,0.33,8.70,185.00,162.46,-22.55
2015,7,31,9,25,0,0.29,9.10,189.00,166.46,-22.55
2015,7,31,10,25,0,0.32,9.10,173.00,150.46,-22.55
2015,7,31,11,25,0,0.29,9.10,151.00,128.46,-22.55
2015,7,31,12,25,0,0.31,8.30,144.00,121.45,-22.55
2015,7,31,13,25,0,0.29,8.30,155.00,132.46,-22.55
2015,7,31,14,25,0,0.37,8.70,143.00,120.45,-22.55
2015,7,31,15,25,0,0.37,9.10,166.00,143.46,-22.55
2015,7,31,16,25,0,0.37,8.70,170.00,147.46,-22.55
2015,7,31,17,25,0,0.30,8.70,191.00,168.46,-22.55
2015,7,31,18,25,0,0.29,8.00,169.00,146.46,-22.55
2015,7,31,19,25,0,0.32,8.30,176.00,153.46,-22.55
2015,7,31,20,25,0,0.34,8.00,165.00,142.46,-22.55
2015,7,31,21,25,0,0.33,8.70,149.00,126.45,-22.55
2015,7,31,22,25,0,0.29,9.10,156.00,133.46,-22.55
2015,7,31,23,25,0,0.27,10.50,158.00,135.46,-22.55
2015,8,1,0,25,0,0.24,9.50,170.00,147.45,-22.55
2015,8,1,1,25,0,0.23,9.10,155.00,132.45,-22.55
2015,8,1,2,25,0,0.27,8.70,166.00,143.45,-22.55
2015,8,1,3,25,0,0.32,8.00,162.00,139.45,-22.55
2015,8,1,4,25,0,0.34,9.10,160.00,137.45,-22.55
2015,8,1,5,25,0,0.28,8.00,183.00,160.45,-22.55
2015,8,1,6,25,0,0.25,9.50,174.00,151.45,-22.55
2015,8,1,7,25,0,0.25,8.30,175.00,152.45,-22.55
2015,8,1,8,25,0,0.26,9.50,186.00,163.45,-22.55
2015,8,1,9,25,0,0.24,9.10,198.00,175.45,-22.55
2015,8,1,10,25,0,0.21,9.10,193.00,170.45,-22.55
2015,8,1,11,25,0,0.22,4.10,176.00,153.45,-22.55
